Tipo;Estado;F.Solicitud;Origen;Unidad;Provincia;Referencia
Queja;Contestado;2021-04-14;12;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;SERVICIOS CENTRALES;aplicaciónd de grabación PAC Nº 052264, depuración muy lenta
Queja;Contestado;2021-04-14;LIBRO;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;BURGOS;Registro necesario en SAC de Belorado
Sugerencia;Contestado;2021-04-13;12;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;SERVICIOS CENTRALES;habilitación para solicitar certificaciñib sanitaria animales en MOGA
Queja;Contestado;2021-03-30;12;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;LEÓN;Coordinador oficina SAC Ponferrada no quiere realizar los traces
Queja;Contestado;2021-03-19;WEB;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;SERVICIOS CENTRALES;Modulo ganadero, propuesta de alta de un cruce de angus
Queja;Contestado;2021-03-19;WEB;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;SALAMANCA;incidencia en funcionamiento plataforma
Queja;Contestado;2021-03-15;LIBRO;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;LEÓN;Negatia a hacer guía
Queja;Contestado;2021-03-11;12;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;SERVICIOS CENTRALES;...
Sugerencia;Contestado;2021-02-24;12;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;SERVICIOS CENTRALES;mejoras en programa MOGA sobre asignaciones de Lidia
Queja;Contestado;2021-02-22;WEB;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;SERVICIOS CENTRALES;Demora en remisión de informe solicitado como parte interesada.
Sugerencia;Contestado;2021-02-09;12;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;SERVICIOS CENTRALES;MOGA
Queja;Contestado;2021-02-08;WEB;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;SERVICIOS CENTRALES;CANTOS DE GALLOS Y GALLINAS
Queja;Contestado;2021-02-08;WEB;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;VALLADOLID;RUIDO EN EXPLOTACIÓN AVIAR
Queja;Contestado;2021-01-29;LIBRO;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;PALENCIA;Ventanilla de presentación de documentos cerrada
Queja;Contestado;2021-01-13;WEB;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;LEÓN;Espera para efectuar registro en la calle a cinco grados bajo cero
Queja;Contestado;2021-01-06;12;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;SERVICIOS CENTRALES;MOGA
